,ihme_lower,ihme_mean,ihme_upper,chime,umcphr_4wk,umcphr_3mth,umcphr_opt
2020-05-31,0.0,0.00047368421052631604,0.0,231.52165305855624,18.628217058899537,14.543081738965432,1.4706487151762797
2020-06-01,0.0,0.0,0.0,242.5939701934194,19.93546036127845,14.543081738965432,1.3072433023789152
2020-06-02,0.0,0.0,0.0,253.0331097517674,21.406109076454733,14.379676326168067,1.3072433023789152
2020-06-03,0.0,0.0,0.0,262.66358434118047,23.36697403002311,14.379676326168067,1.1438378895815509
2020-06-04,0.0,0.0,0.0,271.3136742955294,25.49124439638885,14.379676326168067,0.9804324767841864
2020-06-05,0.0,0.0,0.0,278.8217360970412,28.10573100114668,14.216270913370705,0.9804324767841864
2020-06-06,0.0,0.0,0.0,285.0426745350424,31.04702843149924,14.052865500573336,0.8170270639868221
2020-06-07,0.0,0.0,0.0,289.85416351508775,34.641947513041245,14.052865500573336,0.8170270639868221
2020-06-08,0.0,0.0,0.0,293.1621717171902,38.727082832975356,13.889460087775971,0.6536216511894576
2020-06-09,0.0,0.0,0.0,294.90536558720936,43.62924521689629,13.72605467497861,0.6536216511894576
2020-06-10,0.0,0.0,0.0,295.0580270744176,49.348434664804046,13.562649262181244,0.4902162383920932
2020-06-11,0.0,0.0,0.0,293.6312333549358,56.04805658949599,13.39924384938388,0.4902162383920932
2020-06-12,0.0,0.0,0.0,290.672189140686,63.89151640376947,13.235838436586516,0.4902162383920932
2020-06-13,0.0,0.0,0.0,286.2617615231065,73.20562493321926,13.072433023789154,0.3268108255947288
2020-06-14,0.0,0.0,0.0,280.51042183557274,83.82697676504795,12.909027610991789,0.3268108255947288
2020-06-15,0.0,0.0,0.0,273.5529284664481,96.40919355044501,12.745622198194425,0.3268108255947288
2020-06-16,0.0,0.0,0.0,265.54217291910754,110.6254644638157,12.582216785397058,0.3268108255947288
2020-06-17,0.0,0.0,0.0,256.64264975952847,127.1294111563495,12.25540595980233,0.1634054127973644
2020-06-18,0.0,0.0,0.0,247.02399870982936,145.5942228024517,12.092000547004965,0.1634054127973644
2020-06-19,0.0,0.0,0.0,236.8550109478629,166.01989940212226,11.9285951342076,0.1634054127973644
2020-06-20,0.0,0.0,0.0,226.298404102341,188.40644095536115,11.601784308612874,0.1634054127973644
2020-06-21,0.0,0.0,0.0,215.50656656959652,212.26363122377637,11.438378895815509,0.1634054127973644
2020-06-22,0.0,0.0,0.0,204.61836640944057,236.6110377305836,11.11156807022078,0.1634054127973644
2020-06-23,0.0,0.0,0.0,193.7570253724771,260.7950388245936,10.948162657423415,0.1634054127973644
2020-06-24,0.0,0.0,0.0,183.02898277044002,283.01817496503514,10.621351831828687,0.1634054127973644
2020-06-25,0.0,0.0,0.0,172.52362082744912,302.13660826232683,10.457946419031321,0.1634054127973644
2020-06-26,0.0,0.0,0.0,162.3136929502998,316.0260683501027,10.131135593436591,0.0
2020-06-27,0.0,0.0,0.0,152.45628633785782,323.70612275157885,9.967730180639226,0.0
2020-06-28,0.0,0.0,0.0,142.99415619176762,323.70612275157885,9.640919355044499,0.0
2020-06-29,0.0,0.0,0.0,133.95728560487987,315.8626629373054,9.314108529449769,0.0
2020-06-30,0.0,0.0,0.0,125.36454834958022,300.6659595471505,9.150703116652407,0.0
2020-07-01,0.0,0.0,0.0,117.22537737726452,279.0964450578984,8.823892291057676,0.0
2020-07-02,0.0,0.0,0.0,109.5413669613099,252.9515790103201,8.660486878260311,0.0
2020-07-03,0.0,0.0,0.0,102.30775914616244,224.19222635798397,8.333676052665584,0.0
2020-07-04,0.0,0.0,0.0,95.51478444535131,194.7792520544584,8.17027063986822,0.0
2020-07-05,0.0,0.0,0.0,89.14884217679901,166.18330481491958,7.843459814273491,0.0
2020-07-06,0.0,0.0,0.0,83.19351752243166,139.71162794174657,7.680054401476125,0.0
2020-07-07,0.0,0.0,0.0,77.63044073158927,116.0178430861287,7.353243575881398,0.0
2020-07-08,0.0,0.0,0.0,72.43999938066007,95.26535566086343,7.1898381630840325,0.0
2020-07-09,0.0,0.0,0.0,67.60191782440414,77.6175710787481,7.026432750286668,0.0
2020-07-10,0.0,0.0,0.0,63.09571947157383,62.91108392698529,6.69962192469194,0.0
